Sample,acmLKFE.M,acmLKFE.S,acmLKAA.M,acmLKAA.S,acmLKIE.M,acmLKIE.S,acmLAFE.M,acmLAFE.S,acmLFAA.M,acmLFAA.S,acmLHPFE.M,acmLHPFE.S,acmLHPAA.M,acmLHPAA.S,acmLHPIE.M,acmLHPIE.S,acmLSPFE.M,acmLSPFE.S,acmLSPML.M,acmLSPML.S,acmLSPIE.M,acmLSPIE.S,acmLFIE.M,acmLFIE.S,acmRKFE.M,acmRKFE.S,acmRKAA.M,acmRKAA.S,acmRKIE.M,acmRKIE.S,acmRAFE.M,acmRAFE.S,acmRFAA.M,acmRFAA.S,acmRFIE.M,acmRFIE.S,acmRAIE.M,acmRAIE.S,acmLAIE.M,acmLAIE.S,acmRSHTILT.M,acmRSHTILT.S,acmRSHTILTOFF.M,acmRSHTILTOFF.S,acmRSHOBLI.M,acmRSHOBLI.S,acmRSHOBLIOFF.M,acmRSHOBLIOFF.S,acmRSHROT.M,acmRSHROT.S,acmRSHROTOFF.M,acmRSHROTOFF.S,acmLSHTILT.M,acmLSHTILT.S,acmLSHTILTOFF.M,acmLSHTILTOFF.S,acmLSHOBLI.M,acmLSHOBLI.S,acmLSHOBLIOFF.M,acmLSHOBLIOFF.S,acmLSHROT.M,acmLSHROT.S,acmLSHROTOFF.M,acmLSHROTOFF.S,acmRHPFE.M,acmRHPFE.S,acmRHPAA.M,acmRHPAA.S,acmRHPIE.M,acmRHPIE.S,acmRSPFE.M,acmRSPFE.S,acmRSPML.M,acmRSPML.S,acmRSPIE.M,acmRSPIE.S,acmRPTILT.M,acmRPTILT.S,acmRPOBLI.M,acmRPOBLI.S,acmRPROT.M,acmRPROT.S,acmLPTILT.M,acmLPTILT.S,acmLPOBLI.M,acmLPOBLI.S,acmLPROT.M,acmLPROT.S
0,17.9,0,0.8,0,-8.1,0,6.4,0,2,0,35.5,0,-8.1,0,-6.5,0,-55.5,0,3.5,0,10.9,0,9.1,0,17.8,0,2,0,-2.1,0,8.2,0,-12.1,0,4.5,0,-16.9,0,-6.6,0,53.5,0,9.8,0,-3.6,0,-2,0,4.2,0,-1.6,0,62.1,0,18.5,0,3.2,0,1.5,0,-3.9,0,1.9,0,38.9,0,-6.1,0,-16.4,0,-48,0,-5.7,0,8,0,5.7,0,1.3,0,12.6,0,6.5,0,-1.5,0,6.5,0
1,19.5,0,0.3,0,-7.1,0,5.5,0,1.7,0,35.4,0,-7.6,0,-6.8,0,-55.2,0,3.1,0,11.1,0,9,0,19.7,0,2,0,-1.4,0,7.1,0,-13.5,0,4.2,0,-17.4,0,-5.8,0,53.7,0,10.1,0,-3.7,0,-2.1,0,4.2,0,-1.6,0,61.8,0,18.2,0,3.1,0,1.4,0,-3.9,0,1.9,0,38.9,0,-6.1,0,-16.6,0,-48.2,0,-6,0,8.3,0,5.8,0,1.5,0,13,0,6.5,0,-1.3,0,6.8,0
2,21.1,0,0,0,-5.7,0,4.7,0,0.7,0,35.2,0,-7.1,0,-6.5,0,-55.1,0,2.8,0,11.2,0,8.8,0,21.7,0,2.1,0,-0.5,0,6,0,-15.4,0,4.2,0,-17.5,0,-5,0,54.1,0,10.4,0,-3.8,0,-2.1,0,4.2,0,-1.6,0,61.6,0,17.9,0,2.9,0,1.3,0,-3.9,0,1.9,0,38.9,0,-5.9,0,-16.4,0,-48.6,0,-6.4,0,8.6,0,5.8,0,1.8,0,13.3,0,6.4,0,-1.1,0,6.9,0
3,22.6,0,0.1,0,-4.2,0,4.2,0,-1.3,0,34.9,0,-6.5,0,-5.6,0,-55,0,2.4,0,11.3,0,8.6,0,23.8,0,2.5,0,0.9,0,5.5,0,-17.9,0,4.7,0,-17.3,0,-4.5,0,54.4,0,10.8,0,-3.8,0,-2.2,0,4.2,0,-1.6,0,61.3,0,17.7,0,2.8,0,1.2,0,-4,0,1.8,0,38.9,0,-5.5,0,-15.7,0,-49,0,-7,0,8.7,0,5.8,0,2.3,0,13.5,0,6.3,0,-0.7,0,7,0
4,24,0,0.5,0,-2.8,0,4.1,0,-4.1,0,34.5,0,-5.8,0,-3.9,0,-54.9,0,1.9,0,11.3,0,8.2,0,26,0,3,0,2.3,0,5.5,0,-20.5,0,5.4,0,-17,0,-4.2,0,54.8,0,11.2,0,-3.9,0,-2.3,0,4.2,0,-1.6,0,61,0,17.4,0,2.7,0,1.1,0,-4.1,0,1.7,0,39,0,-5,0,-14.6,0,-49.5,0,-7.6,0,8.6,0,5.8,0,2.8,0,13.5,0,6.1,0,-0.4,0,7,0
5,25.2,0,1.2,0,-1.7,0,4.4,0,-7.3,0,33.9,0,-5.1,0,-1.9,0,-54.8,0,1.4,0,11.4,0,7.6,0,28,0,3.6,0,3.6,0,5.9,0,-23.1,0,6,0,-16.5,0,-4.2,0,55.2,0,11.6,0,-4,0,-2.4,0,4.2,0,-1.6,0,60.7,0,17,0,2.6,0,1,0,-4.1,0,1.6,0,39.1,0,-4.3,0,-13.2,0,-49.9,0,-8.3,0,8.4,0,5.9,0,3.5,0,13.3,0,6,0,0,0,7,0
6,26.3,0,2,0,-1,0,4.9,0,-10.1,0,33.2,0,-4.4,0,0.2,0,-54.5,0,1,0,11.4,0,7,0,29.8,0,4.3,0,4.8,0,6.6,0,-25.2,0,6.3,0,-16,0,-4.3,0,55.6,0,11.9,0,-4.1,0,-2.5,0,4.1,0,-1.6,0,60.3,0,16.6,0,2.5,0,0.9,0,-4.2,0,1.5,0,39.1,0,-3.5,0,-12.1,0,-50.2,0,-9,0,8.2,0,6,0,4.1,0,13.1,0,5.9,0,0.4,0,7,0
7,27.2,0,2.8,0,-0.5,0,5.6,0,-12.3,0,32.6,0,-3.8,0,1.7,0,-54.2,0,0.5,0,11.5,0,6.3,0,31.2,0,4.9,0,5.9,0,7.2,0,-26.8,0,6.2,0,-15.5,0,-4.4,0,55.9,0,12.3,0,-4.2,0,-2.6,0,4.1,0,-1.7,0,59.8,0,16.2,0,2.4,0,0.8,0,-4.3,0,1.5,0,39,0,-2.7,0,-11.3,0,-50.5,0,-9.7,0,8,0,6.2,0,4.6,0,13,0,5.9,0,0.7,0,7.1,0
8,28,0,3.2,0,-0.1,0,6.5,0,-13.6,0,32,0,-3.2,0,2.4,0,-53.8,0,0.1,0,11.6,0,5.5,0,32.3,0,5.4,0,6.7,0,7.8,0,-27.9,0,5.7,0,-15.2,0,-4.4,0,56.4,0,12.7,0,-4.3,0,-2.6,0,4,0,-1.8,0,59.4,0,15.8,0,2.3,0,0.7,0,-4.3,0,1.5,0,38.8,0,-2,0,-10.9,0,-50.7,0,-10.2,0,8,0,6.5,0,5.1,0,13,0,5.9,0,1,0,7.2,0
9,28.6,0,3.3,0,-0.1,0,7.3,0,-13.9,0,31.3,0,-2.6,0,2.6,0,-53.5,0,-0.2,0,11.7,0,4.8,0,33.1,0,5.7,0,7.1,0,8.4,0,-28.5,0,5.1,0,-14.9,0,-4.4,0,56.9,0,13.3,0,-4.3,0,-2.7,0,3.9,0,-1.8,0,59,0,15.4,0,2.2,0,0.6,0,-4.3,0,1.5,0,38.5,0,-1.4,0,-10.6,0,-51.1,0,-10.7,0,8.1,0,6.7,0,5.4,0,13.2,0,6,0,1.3,0,7.4,0
10,29.1,0,3.3,0,-0.5,0,8.1,0,-13.5,0,30.6,0,-2.1,0,2.3,0,-53.1,0,-0.6,0,11.8,0,4.2,0,33.7,0,6,0,6.9,0,9,0,-28.4,0,4.3,0,-14.6,0,-4.4,0,57.6,0,13.9,0,-4.3,0,-2.7,0,3.9,0,-1.8,0,58.7,0,15.1,0,2.2,0,0.5,0,-4.2,0,1.5,0,38,0,-0.8,0,-10.3,0,-51.5,0,-11,0,8.3,0,7,0,5.7,0,13.4,0,6,0,1.5,0,7.6,0
11,29.3,0,3.3,0,-1.3,0,8.9,0,-12.7,0,29.8,0,-1.7,0,2.1,0,-52.9,0,-0.8,0,11.8,0,3.7,0,34.2,0,6.1,0,6.2,0,9.7,0,-27.9,0,3.6,0,-14.5,0,-4.4,0,58.3,0,14.7,0,-4.4,0,-2.7,0,4,0,-1.8,0,58.5,0,14.9,0,2.1,0,0.5,0,-4.1,0,1.7,0,37.5,0,-0.2,0,-10,0,-52.1,0,-11.3,0,8.3,0,7.1,0,5.9,0,13.5,0,6.1,0,1.7,0,7.8,0
12,29.2,0,3.3,0,-2.4,0,9.5,0,-11.7,0,29,0,-1.2,0,1.9,0,-52.7,0,-1.1,0,11.8,0,3.3,0,34.5,0,6.1,0,5.3,0,10.5,0,-27,0,3,0,-14.4,0,-4.4,0,59.1,0,15.4,0,-4.4,0,-2.8,0,4,0,-1.8,0,58.4,0,14.7,0,2,0,0.4,0,-4,0,1.8,0,36.9,0,0.4,0,-9.9,0,-52.7,0,-11.5,0,8.2,0,7.3,0,6,0,13.5,0,6.2,0,1.9,0,7.9,0
13,28.9,0,3.4,0,-3.6,0,10.1,0,-10.7,0,27.9,0,-0.9,0,1.9,0,-52.5,0,-1.3,0,11.6,0,3.1,0,34.6,0,5.9,0,4.4,0,11.2,0,-26,0,2.5,0,-14.5,0,-4.4,0,59.8,0,16.1,0,-4.4,0,-2.8,0,4.1,0,-1.7,0,58.2,0,14.6,0,2,0,0.4,0,-3.8,0,2,0,36.2,0,0.9,0,-9.9,0,-53.3,0,-11.5,0,7.9,0,7.4,0,6,0,13.3,0,6.3,0,2,0,7.9,0
14,28.5,0,3.5,0,-4.4,0,10.7,0,-10.1,0,26.8,0,-0.5,0,2.1,0,-52.4,0,-1.4,0,11.3,0,2.9,0,34.7,0,5.6,0,3.8,0,11.9,0,-25.1,0,2.1,0,-14.6,0,-4.5,0,60.4,0,16.8,0,-4.4,0,-2.8,0,4.2,0,-1.6,0,58.2,0,14.5,0,1.9,0,0.3,0,-3.5,0,2.3,0,35.5,0,1.3,0,-10.1,0,-53.8,0,-11.3,0,7.5,0,7.5,0,5.9,0,13,0,6.3,0,2.1,0,7.9,0
15,28,0,3.6,0,-4.8,0,11.3,0,-9.8,0,25.7,0,-0.3,0,2.3,0,-52.4,0,-1.4,0,10.9,0,2.8,0,34.7,0,5.2,0,3.5,0,12.4,0,-24.2,0,1.7,0,-14.7,0,-4.5,0,61,0,17.4,0,-4.3,0,-2.7,0,4.3,0,-1.5,0,58.1,0,14.5,0,1.9,0,0.3,0,-3.2,0,2.5,0,34.7,0,1.7,0,-10.4,0,-54.2,0,-11.1,0,7,0,7.6,0,5.8,0,12.6,0,6.3,0,2.1,0,7.7,0
16,27.5,0,3.7,0,-4.9,0,11.8,0,-10,0,24.4,0,-0.1,0,2.7,0,-52.4,0,-1.3,0,10.4,0,2.7,0,34.4,0,4.8,0,3.3,0,12.8,0,-23.5,0,1.3,0,-14.9,0,-4.5,0,61.6,0,17.9,0,-4.3,0,-2.7,0,4.4,0,-1.3,0,58.1,0,14.4,0,1.9,0,0.3,0,-2.9,0,2.9,0,33.8,0,2,0,-10.5,0,-54.6,0,-10.7,0,6.4,0,7.7,0,5.5,0,12.2,0,6.2,0,2.1,0,7.5,0
17,26.8,0,3.8,0,-4.8,0,12.4,0,-10.3,0,23.2,0,0,0,3.2,0,-52.3,0,-1,0,9.7,0,2.6,0,33.8,0,4.5,0,3.1,0,13,0,-22.8,0,1,0,-15,0,-4.5,0,62.1,0,18.4,0,-4.2,0,-2.6,0,4.5,0,-1.2,0,58.1,0,14.4,0,1.9,0,0.2,0,-2.6,0,3.2,0,32.8,0,2.3,0,-10.3,0,-54.9,0,-10.3,0,5.8,0,7.8,0,5.2,0,11.6,0,6.2,0,1.9,0,7.2,0
18,26.1,0,3.8,0,-4.8,0,12.8,0,-10.5,0,21.9,0,0.1,0,3.8,0,-52.2,0,-0.7,0,9.1,0,2.4,0,33.1,0,4.3,0,2.6,0,13.1,0,-22.2,0,0.6,0,-15.2,0,-4.5,0,62.6,0,18.9,0,-4.2,0,-2.5,0,4.6,0,-1.1,0,58,0,14.4,0,1.9,0,0.3,0,-2.2,0,3.6,0,31.7,0,2.5,0,-9.9,0,-55.2,0,-9.8,0,5,0,7.9,0,4.9,0,10.9,0,6.1,0,1.7,0,6.9,0
19,25.3,0,3.9,0,-5,0,13.1,0,-10.5,0,20.6,0,0.1,0,4.3,0,-52.1,0,-0.4,0,8.4,0,2.2,0,32.1,0,4.3,0,1.9,0,13.1,0,-21.4,0,0.3,0,-15.5,0,-4.5,0,63.1,0,19.4,0,-4.1,0,-2.4,0,4.7,0,-1,0,57.9,0,14.3,0,1.9,0,0.3,0,-1.8,0,3.9,0,30.5,0,2.8,0,-9.2,0,-55.4,0,-9.3,0,4.3,0,8,0,4.5,0,10.2,0,6.1,0,1.4,0,6.5,0
20,24.5,0,3.9,0,-5.4,0,13.3,0,-10.2,0,19.4,0,0,0,4.8,0,-51.9,0,0,0,7.7,0,2,0,30.9,0,4.3,0,0.9,0,13,0,-20.5,0,0,0,-15.7,0,-4.6,0,63.6,0,19.9,0,-4,0,-2.4,0,4.8,0,-1,0,57.8,0,14.1,0,1.9,0,0.3,0,-1.5,0,4.3,0,29.2,0,3,0,-8.4,0,-55.7,0,-8.8,0,3.5,0,8.1,0,4.2,0,9.5,0,6.1,0,1.1,0,6.2,0
21,23.5,0,3.8,0,-5.8,0,13.4,0,-9.8,0,18.1,0,-0.1,0,5.2,0,-51.7,0,0.4,0,7,0,1.8,0,29.7,0,4.3,0,-0.2,0,12.9,0,-19.6,0,-0.3,0,-16,0,-4.7,0,64,0,20.4,0,-3.9,0,-2.3,0,4.9,0,-0.9,0,57.7,0,14,0,2,0,0.3,0,-1.2,0,4.6,0,27.9,0,3.2,0,-7.6,0,-56,0,-8.3,0,2.7,0,8.2,0,3.9,0,8.8,0,6.1,0,0.9,0,5.8,0
22,22.6,0,3.8,0,-6.1,0,13.5,0,-9.4,0,16.8,0,-0.2,0,5.5,0,-51.5,0,0.8,0,6.4,0,1.6,0,28.5,0,4.3,0,-1.2,0,13,0,-18.8,0,-0.5,0,-16.3,0,-4.8,0,64.4,0,20.8,0,-3.9,0,-2.2,0,5,0,-0.8,0,57.5,0,13.9,0,2,0,0.4,0,-0.8,0,4.9,0,26.5,0,3.5,0,-6.8,0,-56.3,0,-7.9,0,2,0,8.2,0,3.7,0,8,0,6.1,0,0.6,0,5.4,0
23,21.6,0,3.8,0,-6.3,0,13.7,0,-9.1,0,15.4,0,-0.4,0,5.6,0,-51.4,0,1.2,0,5.7,0,1.5,0,27.3,0,4.3,0,-2,0,13.1,0,-18.1,0,-0.5,0,-16.5,0,-4.9,0,64.8,0,21.1,0,-3.8,0,-2.2,0,5.1,0,-0.7,0,57.4,0,13.8,0,2.1,0,0.4,0,-0.5,0,5.3,0,25,0,3.7,0,-6.1,0,-56.6,0,-7.5,0,1.2,0,8.3,0,3.4,0,7.3,0,6.1,0,0.3,0,5,0
24,20.6,0,3.7,0,-6.2,0,13.9,0,-8.9,0,14.1,0,-0.6,0,5.7,0,-51.3,0,1.5,0,5.1,0,1.3,0,26.2,0,4.3,0,-2.5,0,13.4,0,-17.8,0,-0.3,0,-16.7,0,-4.9,0,65.1,0,21.5,0,-3.8,0,-2.2,0,5.2,0,-0.6,0,57.3,0,13.7,0,2.1,0,0.5,0,-0.2,0,5.6,0,23.6,0,3.8,0,-5.3,0,-56.9,0,-7.1,0,0.3,0,8.3,0,3.2,0,6.5,0,6.1,0,0.1,0,4.7,0
25,19.6,0,3.8,0,-6.1,0,14,0,-8.9,0,12.7,0,-0.8,0,5.7,0,-51.3,0,1.9,0,4.4,0,1.2,0,25.2,0,4.3,0,-2.6,0,13.9,0,-17.7,0,0,0,-16.9,0,-5,0,65.4,0,21.8,0,-3.8,0,-2.1,0,5.3,0,-0.5,0,57.3,0,13.7,0,2.2,0,0.6,0,0.1,0,5.9,0,22.2,0,4,0,-4.5,0,-57.1,0,-6.8,0,-0.5,0,8.3,0,3,0,5.8,0,6,0,-0.2,0,4.3,0
26,18.6,0,3.8,0,-5.9,0,14.2,0,-8.8,0,11.4,0,-1,0,5.8,0,-51.3,0,2.2,0,3.8,0,1.1,0,24.3,0,4.3,0,-2.7,0,14.3,0,-17.8,0,0.2,0,-17,0,-5,0,65.7,0,22,0,-3.8,0,-2.1,0,5.4,0,-0.4,0,57.3,0,13.7,0,2.3,0,0.6,0,0.4,0,6.1,0,20.8,0,4.1,0,-3.8,0,-57.4,0,-6.5,0,-1.3,0,8.2,0,2.9,0,5,0,6,0,-0.3,0,3.9,0
27,17.7,0,3.9,0,-5.8,0,14.4,0,-8.7,0,10.1,0,-1.2,0,5.9,0,-51.3,0,2.5,0,3.2,0,1.1,0,23.3,0,4.3,0,-2.8,0,14.7,0,-17.9,0,0.3,0,-17.1,0,-5.1,0,65.9,0,22.2,0,-3.8,0,-2.2,0,5.5,0,-0.3,0,57.3,0,13.7,0,2.3,0,0.7,0,0.6,0,6.4,0,19.4,0,4.2,0,-3,0,-57.6,0,-6.3,0,-2.1,0,8.2,0,2.7,0,4.3,0,6,0,-0.5,0,3.6,0
28,16.7,0,4.1,0,-5.9,0,14.6,0,-8.5,0,8.8,0,-1.4,0,6.1,0,-51.3,0,2.7,0,2.7,0,1.1,0,22.3,0,4.4,0,-3.1,0,14.9,0,-17.8,0,0.2,0,-17.3,0,-5.1,0,66,0,22.4,0,-3.8,0,-2.2,0,5.6,0,-0.2,0,57.3,0,13.7,0,2.4,0,0.8,0,0.9,0,6.7,0,18,0,4.3,0,-2.2,0,-57.8,0,-6.1,0,-2.8,0,8.2,0,2.6,0,3.7,0,6,0,-0.6,0,3.3,0
29,15.8,0,4.2,0,-6.1,0,14.7,0,-8.4,0,7.6,0,-1.5,0,6.3,0,-51.2,0,2.9,0,2.1,0,1.1,0,21.3,0,4.4,0,-3.5,0,15,0,-17.6,0,-0.1,0,-17.6,0,-5.2,0,66.2,0,22.5,0,-3.8,0,-2.2,0,5.7,0,-0.1,0,57.2,0,13.6,0,2.4,0,0.8,0,1.1,0,6.9,0,16.6,0,4.4,0,-1.4,0,-57.9,0,-5.9,0,-3.5,0,8.1,0,2.5,0,3.1,0,6,0,-0.7,0,2.9,0
30,14.9,0,4.4,0,-6.4,0,14.8,0,-8.2,0,6.4,0,-1.7,0,6.7,0,-50.2,0,3,0,1.6,0,1.3,0,20.3,0,4.5,0,-4.1,0,15,0,-17.2,0,-0.4,0,-17.8,0,-5.3,0,66.3,0,22.7,0,-3.9,0,-2.2,0,5.7,0,-0.1,0,56.3,0,12.6,0,2.5,0,0.9,0,1.4,0,7.1,0,15.2,0,4.5,0,-0.6,0,-58.1,0,-5.8,0,-4.1,0,8,0,2.4,0,2.5,0,6,0,-0.7,0,2.6,0
31,14,0,4.6,0,-6.8,0,14.9,0,-8.1,0,5.2,0,-1.8,0,7,0,-48.1,0,3.1,0,1.1,0,1.5,0,19.3,0,4.6,0,-4.6,0,15.1,0,-16.9,0,-0.7,0,-18,0,-5.4,0,66.4,0,22.7,0,-3.9,0,-2.3,0,5.7,0,-0.1,0,54.1,0,10.5,0,2.5,0,0.9,0,1.6,0,7.3,0,13.8,0,4.5,0,0.2,0,-58.2,0,-5.7,0,-4.6,0,8,0,2.3,0,2,0,6,0,-0.7,0,2.3,0
